,0,1,2,3
Feature 1,98.84700460829492,0.0,135.03129074315515,60.24925373134328
Feature 2,28.306912442396314,0.0,118.14602346805736,41.092537313432835
Feature 3,7.177880184331797,2.791360294117647,5.217731421121251,21.517910447761196
Feature 4,3.8589861751152075,0.0,1.302477183833116,0.9552238805970149
Feature 5,0.9023041474654377,0.0,0.0,1.1029850746268657
Feature 6,0.8506912442396314,0.0,0.0,0.11641791044776119
Feature 7,2.273732718894009,0.0,0.08344198174706649,2.5492537313432835
Feature 8,2.1594470046082948,0.0,0.0,0.29253731343283584
Feature 9,2.9723502304147464,0.0,0.46153846153846156,4.161194029850746
Feature 10,2.7244239631336407,0.0,0.08344198174706649,0.40298507462686567
Feature 11,2739863.6147465436,807659.9099264706,1417372.441981747,5954568.241791044
Feature 12,1593490.3566820277,0.0,426029.11212516297,336039.98507462686
Feature 13,402752.4396313364,0.0,0.0,308657.17014925374
Feature 14,387638.6396313364,0.0,0.0,38564.63283582089
Feature 15,953783.1410138248,0.0,14552.061277705345,793898.5492537314
Feature 16,911065.7428571428,0.0,0.0,93641.24029850746
Feature 17,1226995.2396313364,0.0,110816.71577574968,1314608.2805970148
Feature 18,1137890.4147465439,0.0,24670.647979139503,143281.0686567164
Feature 19,249687.52150553,0.0,0.0,34245.6447761194
Feature 20,394500.00716986175,0.0,0.0,65913.36106955225
Feature 21,409700.74292801844,0.0,24051.808344198176,94754.16952731344
Feature 22,308370.667281106,224901.50919117648,249286.17992177315,262684.13582089555
Feature 23,11.066359447004608,8.313419117647058,9.108213820078227,9.444776119402984
Feature 24,15.058701525017511,0.0,0.041460234680573665,4.679257758837313
Feature 25,14.978971298776038,0.0,0.6431551499348109,10.078183215431343
Feature 26,1.6350230414746543,0.5045955882352942,1.3363754889178618,2.1611940298507464
Feature 27,1.1456221198156682,0.0,0.7770534550195567,0.3761194029850746
Feature 28,13.755760368663594,0.0,9.770534550195567,6.195522388059701
Feature 29,1.3741935483870968,0.9136029411764706,1.5032594524119949,2.4686567164179105
Feature 30,0.7576036866359447,0.5496323529411765,0.9934810951760105,0.8626865671641791
Feature 32,186603.83937975115,120916.32591897978,201974.3621792699,250496.82579017908
Feature 33,5.337327188940092,4.034007352941177,4.732724902216428,5.861194029850746
Feature 34,7.343778801843318,4.943014705882353,6.52542372881356,9.774626865671642
Feature 35,279108.46799887554,139984.42560003675,242445.84947410692,322288.60459114925
